t,p,token_id
2023-04-16 00:00:45,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-17 00:00:23,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-18 00:00:27,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-19 00:00:23,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-20 00:00:46,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-21 00:00:40,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-22 00:00:24,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-23 00:00:24,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-24 00:00:06,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-25 00:00:30,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-26 00:00:54,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-27 00:00:53,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-28 00:00:34,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-04-30 00:00:13,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-01 00:00:19,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-02 00:00:47,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-04 00:00:54,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-05 00:00:04,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-06 00:00:12,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-07 00:00:24,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-08 00:00:41,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-09 00:00:08,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-10 00:00:45,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-11 00:00:36,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-12 00:00:54,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-13 00:00:42,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-15 00:00:02,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-16 00:00:23,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2023-05-17 00:00:23,0.5,50840823040491579160844190313425221953810324677596615897772385992533441988174
2022-12-16 00:00:07,0.25,47964004584107225500321701776265303926067511500178575227907010687520299492312
2022-12-17 00:00:08,0.25,47964004584107225500321701776265303926067511500178575227907010687520299492312
2022-12-18 00:00:20,0.25,47964004584107225500321701776265303926067511500178575227907010687520299492312
